group,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75
11q13 Invasive Tumor Cells (Mitotic),50.0,0.8981740292194307,0.7443977949068638,0.9740833428254565,178,0.0,0.0,1.0,432,0.9734765655636655,0.8345545307247857,1.9581567232701358,0.0001239468859148631,0.00010625878307566936,0.0002493202574856566
11q13 Invasive Tumor Cells (Mitotic),100.0,0.75052084714561,0.5134087989207606,0.8977814259395326,284,1.0,0.0,2.0,432,1.4033115606179618,0.8639178920406643,2.3775241506373157,4.466879431407011e-05,2.7499360588760418e-05,7.567894417885775e-05
11q13 Invasive Tumor Cells (Mitotic),200.0,0.5867822977146244,0.4125160856337856,0.7811994032007918,384,3.0,1.0,6.0,432,1.9036965782759352,0.9873038695534804,3.6753314862763995,1.5149136028987116e-05,7.856714558659612e-06,2.9247358677108572e-05
B Cells,25.0,0.9628720982599399,0.7358859908576061,0.995273941455632,34,0.0,0.0,0.0,309,0.9854096457417194,0.7358859908576061,0.9991701381990916,0.0005018650114887299,0.000374783657590609,0.0005088731727494323
B Cells,50.0,0.9116502389038357,0.7278926834910227,0.9781306313582572,78,0.0,0.0,1.0,309,0.966814714959941,0.8335656579576849,0.9998042417161904,0.00012309867275188516,0.0001061328758844909,0.00012729902975470067
B Cells,100.0,0.7711084962336842,0.5093607334082162,0.9393134641629522,155,1.0,0.0,1.0,309,0.9941062021217115,0.6483222611791957,1.7279540508022189,3.164338320519624e-05,2.0636738516636758e-05,5.500248572416743e-05
B Cells,200.0,0.6557805251324811,0.4993904852473839,0.8690529610574191,227,2.0,0.0,3.0,309,1.4820984399706918,0.8119234773192473,2.766632590805824,1.1794164643506115e-05,6.461081741385929e-06,2.2016162627294193e-05
Myeloid Cells,25.0,0.5569823908157805,0.5132019930528486,0.8911470029871902,7,0.0,0.0,0.0,196,0.9988002291087278,0.738534744198688,1.1051171176328296,0.0005086847795967092,0.00037613265658985496,0.0005628315262935436
Myeloid Cells,50.0,0.7180678474581701,0.07569600734908283,0.9091439308800082,21,0.0,0.0,0.0,196,0.886485967454392,0.07569600734908283,0.9426347972866576,0.00011287089896157404,9.637914993541574e-06,0.00012001999001487862
Myeloid Cells,100.0,0.7186422660466609,0.47755472357242973,0.9351499724004168,60,0.0,0.0,1.0,196,0.9347565019357742,0.5767352008214913,1.6073895078957503,2.975422357407346e-05,1.8358051613167458e-05,5.1164797131131556e-05
Myeloid Cells,200.0,0.6376241297269891,0.3866637221760377,0.8309432140747475,106,1.0,0.0,2.0,196,0.9676369084523607,0.5806793118558281,1.9333176363841946,7.700209854917651e-06,4.620899141652763e-06,1.5384852919864206e-05
